TID,TV,Laptop,Phone Charger,Shoes,Headphones,Clothes,Diapers,Books,Toys,Furniture
1,1,0,1,0,0,0,0,1,1,0
2,0,1,0,0,0,1,0,1,0,0
3,0,0,1,1,1,0,1,0,0,0
4,1,0,0,0,1,0,0,0,1,1
5,0,1,1,0,0,0,0,1,0,0
6,0,0,0,1,1,0,1,0,0,1
7,1,0,0,0,1,1,0,1,0,0
8,0,1,0,0,0,0,1,0,0,1
9,1,0,0,1,0,0,0,0,1,0
10,0,1,1,0,0,0,1,0,1,1
11,0,0,0,0,1,1,0,1,0,0
12,1,0,1,0,0,0,0,1,1,0
13,0,1,0,1,1,0,0,0,0,1
14,0,0,1,0,1,0,1,0,0,0
15,1,1,0,0,0,0,0,1,1,1
16,0,0,1,0,1,1,0,1,0,0
17,1,0,0,0,0,0,1,0,0,1
18,0,1,1,1,0,1,0,0,0,0
19,0,0,0,0,1,0,0,0,1,0
20,0,1,1,0,0,0,1,1,0,1
