TID,Transaction Details
1,"Milk, Bread, Cereal, Yogurt, Vegetables"
2,"Eggs, Cereal, Yogurt"
3,"Cereal, Cheese, Juice, Snacks"
4,"Milk, Cheese, Juice, Snacks"
5,"Milk, Bread, Yogurt, Vegetables"
6,"Eggs, Butter, Juice"
7,"Milk, Bread, Yogurt, Snacks"
8,"Milk, Eggs, Cereal"
9,"Bread, Cheese, Juice, Snacks"
10,"Cereal, Cheese, Butter"
11,"Milk, Eggs, Juice, Snacks"
12,"Cereal, Yogurt, Vegetables"
13,"Bread, Yogurt, Vegetables"
14,"Eggs, Cereal, Cheese, Snacks"
15,"Bread, Cheese, Yogurt"
16,"Milk, Bread, Cereal, Juice"
17,"Eggs, Cheese, Vegetables"
18,"Milk, Bread, Yogurt, Snacks"
19,"Milk, Eggs, Cheese, Butter"
20,"Bread, Cereal, Butter, Vegetables"
