TID,Transaction Details
1,"Amazon Echo, Phone Charger, Diapers"
2,"Fire TV Stick, Wireless Headphones, Shampoo"
3,"Kindle, Clothes, Books"
4,"Amazon Echo, Laptop, Phone Charger"
5,"Laptop, Wireless Headphones, Clothes, Books"
6,"Phone Charger, Shampoo"
7,"Kindle, Clothes, Books"
8,"Amazon Echo, Laptop, Clothes, Books"
9,"Wireless Headphones, Shampoo, Books"
10,"Amazon Echo, Kindle, Clothes"
11,"Fire TV Stick, Laptop, Clothes, Books"
12,"Fire TV Stick, Phone Charger, Shampoo, Books"
13,"Kindle, Wireless Headphones, Books"
14,"Fire TV Stick, Phone Charger, Clothes, Books"
15,"Amazon Echo, Laptop, Diapers"
16,"Fire TV Stick, Kindle, Wireless Headphones, Clothes"
17,"Amazon Echo, Laptop, Clothes, Books"
18,"Phone Charger, Wireless Headphones, Shampoo"
19,"Fire TV Stick, Phone Charger, Clothes, Books"
20,"Amazon Echo, Kindle, Phone Charger, Clothes"
