TID,Transaction Details
1,"TV, Coffee, Phone, Snacks, Headphones"
2,"Coffee, Printer, Clothes"
3,"Laptop, Kitchenware, Snacks"
4,"TV, Printer, Clothes"
5,"Coffee, Phone, Snacks, Beverages"
6,"TV, Laptop, Kitchenware, Headphones"
7,"Printer, Phone, Snacks"
8,"TV, Coffee, Kitchenware, Headphones"
9,"Phone, Kitchenware, Clothes"
10,"TV, Coffee, Kitchenware, Beverages"
11,"Printer, Phone, Snacks, Clothes"
12,"TV, Laptop, Headphones"
13,"Printer, Phone, Beverages"
14,"TV, Coffee, Snacks, Clothes"
15,"Laptop, Printer, Snacks, Clothes"
16,"TV, Coffee, Phone, Snacks"
17,"Printer, Kitchenware, Clothes"
18,"Coffee, Laptop, Snacks, Beverages"
19,"Coffee, Phone, Clothes"
20,"TV, Laptop, Printer, Snacks, Headphones"
