TID,Transaction Details
1,"Milk, Bread, Eggs"
2,"Diapers, Shampoo, Soap"
3,"Cereal, Juice, Snacks"
4,"Milk, Bread, Soap"
5,"Eggs, Cereal, Juice"
6,"Diapers, Snacks, Clothes"
7,"Milk, Bread, Shampoo, Soap"
8,"Cereal, Juice, Clothes"
9,"Milk, Diapers, Snacks"
10,"Bread, Shampoo, Juice"
11,"Eggs, Soap, Cereal"
12,"Milk, Diapers, Snacks, Clothes"
13,"Juice, Snacks"
14,"Milk, Bread, Eggs"
15,"Diapers, Shampoo, Cereal"
16,"Milk, Soap, Snacks"
17,"Bread, Eggs, Diapers"
18,"Milk, Soap, Cereal"
19,"Bread, Juice, Snacks"
20,"Eggs, Diapers, Clothes"
